Feature,RandomForest,KNN,DecisionTree,NaiveBayes,SVM
Max,0.04158790170132364,0.15319148936170235,0.054998141954663696,0.14814814814814817,0.04986574606827775
Min,-0.005671077504725692,0.038297872340425546,0.04496469713861018,0.02241715399610155,0.010356731875719179
Mean,0.9839319470699432,0.5815602836879432,1.0,0.26413255360623783,0.15650172612197935
Std,0.11720226843100226,0.8127659574468084,0.014121144555927157,0.16959064327485396,0.16187188339087083
Median,-0.0018903591682415172,0.22127659574468092,0.0940170940170939,0.32066276803118937,0.006137322593018769
IQR,-0.012287334593572504,0.2921985815602838,0.15830546265328868,0.07212475633528265,0.0030686612965094267
RMS,0.049149338374291474,0.46950354609929057,0.07617985878855449,0.2397660818713451,0.09244342155734565
Skewness,1.0,1.0,0.2679301374953549,0.44541910331384005,1.0
Kurtosis,0.8449905482041591,0.12340425531914899,0.08695652173913039,1.0,0.38856923667050247
