Filename,Max,Min,Mean,Std,Median,IQR,RMS,Skewness,Kurtosis,Label
Hybrid(Average)_01-37_66_Go11_1.0.csv,6.7795,-0.0103,0.18941850000000002,1.0015733485972809,0.0005,0.0035,1.0188353113187625,5.904649858759494,34.503264366310255,Go
Hybrid(Average)_01-37_67_Go1_1.0.csv,6.8317,-0.0148,0.7261893,1.9694661241284654,0.0021,0.0112,2.0981584584368265,2.5894710793308757,4.951153951230996,Go
Hybrid(Average)_01-37_68_Go12_2.0.csv,4.6871,-0.01,0.0398488,0.31677901632485655,0.0005,0.002575,0.3191183528097373,10.497757355648444,122.73397085863155,Go
Hybrid(Average)_01-37_69_Go2_2.0.csv,6.8499,-0.0109,0.5709705,1.768229507221831,0.0028,0.007700000000000001,1.8572873408522441,3.042696068852715,7.5558531960242075,Go
Hybrid(Average)_01-37_70_Go13_3.0.csv,6.7651,-0.0106,0.06081310000000001,0.489145884573084,0.0018,0.0051,0.492668921112343,10.091381277108592,110.74408402067661,Go
Hybrid(Average)_01-37_71_Hold3_3.0.csv,6.8352,-0.0097,0.9542771000000002,2.2728006803409198,0.0031,0.0115,2.463960651717068,2.1073769909542284,2.552976823753616,Hold
Hybrid(Average)_01-37_72_Go14_4.0.csv,6.7785,-0.0113,0.0687786,0.5670069952961381,0.0021,0.0051,0.5708817141930541,10.480669784490063,113.7466936992413,Go
Hybrid(Average)_01-37_73_Go4_4.0.csv,6.8442,-0.01,0.7802273000000001,2.0558408108227044,0.0031,0.01005,2.197955777005079,2.46103303175307,4.237960577214521,Go
Hybrid(Average)_01-37_74_Go15_5.0.csv,6.74,-0.0094,0.067496,0.5108889881003134,0.0031,0.0055,0.5150750048488084,9.898320116473773,108.06455376980182,Go
Hybrid(Average)_01-37_75_Hold5_5.0.csv,7.2865,-0.009,1.1162208999999998,2.420104243830045,0.0053,0.02,2.6640189083506893,1.8417344915038933,1.4908377055125333,Hold
Hybrid(Average)_01-37_76_Go16_6.0.csv,6.8104,-0.0387,0.1452991,0.8959316143248528,0.0021,0.0051,0.90719490328705,6.81950714673748,46.17152252563995,Go
Hybrid(Average)_01-37_77_Hold6_6.0.csv,6.8461,-0.0097,1.234757,2.5172678945006397,0.0047,0.073875,2.8026640655062462,1.683209097416185,0.9235666587831033,Hold
Hybrid(Average)_01-37_78_Go17_7.0.csv,6.984,-0.0097,0.0702211,0.5265874189292454,0.0028,0.0051,0.5309877760834049,10.388046327276962,119.57815599476474,Go
Hybrid(Average)_01-37_79_Hold7_7.0.csv,6.8422,-0.0081,1.4642227,2.67452818642367,0.0082,0.5974,3.047933075733455,1.4009675921104598,0.0461224629855046,Hold
Hybrid(Average)_01-37_80_Go18_8.0.csv,6.7715,-0.009,0.11097919999999999,0.7143475006599093,0.0028,0.0063999999999999994,0.7225637979998721,8.042052203636771,67.92746266923244,Go
Hybrid(Average)_01-37_81_Hold8_8.0.csv,6.8559,-0.0106,1.3463567,2.612496432760492,0.0066,0.159075,2.9378544615433215,1.5383003018817136,0.43910521743475783,Hold
Hybrid(Average)_01-37_82_Go19_9.0.csv,7.5306,-0.0097,0.1835755,0.9963425984485623,0.004,0.007600000000000001,1.0126232463804097,6.095199143873178,36.6639412334804,Go
Hybrid(Average)_01-37_83_Go9_9.0.csv,6.8445,-0.01,0.7981912,2.047573045925581,0.0047,0.0172,2.196695703728671,2.434319772956131,4.156408936898558,Go
Hybrid(Average)_01-37_84_Go20_10.0.csv,6.7744,-0.0087,0.1672699,0.9502285564607619,0.0044,0.0096,0.9643705691537875,6.344477037912834,39.7500019721542,Go
Hybrid(Average)_01-37_85_Hold10_10.0.csv,6.8378,-0.01,2.0007862,2.997899018582043,0.01055,6.6995249999999995,3.60299272066986,0.9154263060478328,-1.1115769594215452,Hold
Hybrid(Average)_01-37_86_Go21_11.0.csv,6.7278,-0.009,0.0598812,0.4465472900251314,0.0044,0.0092,0.4503230350093142,11.158640290867467,139.72324872579273,Go
Hybrid(Average)_01-37_87_Hold11_11.0.csv,7.0239,-0.01,1.6567898999999997,2.8437011991026355,0.0056,1.5631499999999998,3.2899092154662872,1.2148128714580535,-0.4846445518619702,Hold
Hybrid(Average)_01-37_88_Go22_12.0.csv,6.7744,-0.0103,0.1558312,0.8677746077965733,0.004,0.0109,0.8812281770687997,6.638239820474532,44.69732647150543,Go
Hybrid(Average)_01-37_89_Hold12_12.0.csv,6.8493,-0.0106,1.039058,2.325229877715367,0.0072,0.02765,2.545766842741102,1.9722988610648815,2.0204764469536483,Hold
Hybrid(Average)_01-37_90_Go13_12.0.csv,6.8257,-0.0113,0.32259830000000006,1.3566125663734478,0.0044,0.013099999999999999,1.3937815182983309,4.356276069408928,17.473822590880676,Go
Hybrid(Average)_01-37_91_Go23_13.0.csv,7.1995,-0.01,0.042351400000000004,0.41348004327201116,0.0012,0.0035,0.41543762650968435,12.903128792721677,181.50233925400627,Go
Hybrid(Average)_01-37_92_Hold14_13.0.csv,6.8547,-0.0103,1.191085,2.464584508308367,0.0072,0.07089999999999999,2.7361992067501224,1.742119601578039,1.1476675365624618,Hold
Hybrid(Average)_01-37_93_Go24_14.0.csv,6.7865,-0.01,0.1145097,0.7579323445102238,0.0028,0.007,0.7661588926652225,7.874123894030753,62.959392279411595,Go
Hybrid(Average)_01-37_94_Hold15_14.0.csv,7.6351,-0.009,1.4158429999999997,2.6411986963620637,0.0079,0.4868,2.9955910975565403,1.4639323642417654,0.23073406980901678,Hold
